Monster Name,Island,Monster 1,Monster 2,Portrait URL
Withur,Bone Island,Fwog,Clackula,https://static.wikia.nocookie.net/mysingingmonsters/images/4/47/Withur.png/revision/latest?cb=20200410232236
Shrubb,Plant Island,Potbelly,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a6/Shrubb.png/revision/latest/scale-to-width-down/700?cb=20240508143406
Rare Boo'qwurm,Seasonal Shanty,Schmoochle,Hoola,https://static.wikia.nocookie.net/mysingingmonsters/images/2/2e/Rare_Boo%27qwurm.png/revision/latest?cb=20240215002427
Rare Noggin,Fire Haven,Reedling,Floogull,https://static.wikia.nocookie.net/mysingingmonsters/images/0/0a/Rare_Noggin.png/revision/latest?cb=20250106000150
Rare Bonkers,Psychic Island,Potbelly,Theremind,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c4/Rare_Bonkers.png/revision/latest?cb=20240314045045
Rare Riff,Air Island,PomPom,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/f/f2/Rare_Riff.png/revision/latest?cb=20191027022446
Rare Potbelly,Earth Island,Reedling,Thumpies,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7f/Rare_Potbelly.png/revision/latest?cb=20250106000228
Rare Punkleton,Plant Island,Bowgart,T-Rox,https://static.wikia.nocookie.net/mysingingmonsters/images/8/87/Rare_Punkleton.png/revision/latest?cb=20191027022729
Rare Sneyser,Fire Oasis,Whaddle,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ef/Rare_Sneyser.png/revision/latest?cb=20230909042202
Rare Shellbeat,Water Island,Scups,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/2/2b/Rare_Shellbeat.png/revision/latest?cb=20191027022454
Ghazt,Plant Island,Entbrat,Bowgart,https://static.wikia.nocookie.net/mysingingmonsters/images/3/37/Ghazt.png/revision/latest?cb=20250106000320
Rare HippityHop,Faerie Island,Noggin,Floot Fly,https://static.wikia.nocookie.net/mysingingmonsters/images/9/98/Rare_HippityHop.png/revision/latest?cb=20230329184609
Rare Whisp,Ethereal Island,Ghazt,Grumpyre,https://static.wikia.nocookie.net/mysingingmonsters/images/f/f7/Rare_Whisp.png/revision/latest?cb=20191027022615
Epic Jeeode,Water Island,Pummel,Quibble,https://static.wikia.nocookie.net/mysingingmonsters/images/b/b8/Epic_Jeeode.png/revision/latest?cb=20221028150559
Oaktopus,Plant Island,Potbelly,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/1/15/Oaktopus.png/revision/latest/scale-to-width-down/700?cb=20191026235946
Shugabuzz,Shugabush Island,Quibble,Shugabush,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7e/Shugabuzz.png/revision/latest?cb=20191027005816
G'day,Magical Sanctum,Xyster,Fluoress,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ee/G%27day.png/revision/latest?cb=20220304050303
Quarrister,Earth Island,Dandidoo,Drumpler,https://static.wikia.nocookie.net/mysingingmonsters/images/6/68/Quarrister.png/revision/latest/scale-to-width-down/700?cb=20191026235916
Rare Tweedle,Cold Island,Thumpies,Congle,https://static.wikia.nocookie.net/mysingingmonsters/images/8/85/Rare_Tweedle.png/revision/latest?cb=20250106000109
Riff,Air Island,T-Rox,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c3/Riff.png/revision/latest/scale-to-width-down/700?cb=20191026235927
Epic Flowah,Psychic Island,Rooba,Poppette,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a6/Epic_Flowah.png/revision/latest?cb=20240410205648
Spunge,Cold Island,Quibble,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/2/22/Spunge.png/revision/latest/scale-to-width-down/700?cb=20240508144408
Quarrister,Earth Island,Clamble,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/6/68/Quarrister.png/revision/latest/scale-to-width-down/700?cb=20191026235916
Rare Mammott,Fire Oasis,Wynq,Congle,https://static.wikia.nocookie.net/mysingingmonsters/images/b/b4/Rare_Mammott.png/revision/latest?cb=20250106000128
Epic Spurrit,Fire Oasis,Sneyser,Glowl,https://static.wikia.nocookie.net/mysingingmonsters/images/1/11/Epic_Spurrit.png/revision/latest?cb=20240515151919
Epic Whaddle,Fire Oasis,Congle,Phangler,https://static.wikia.nocookie.net/mysingingmonsters/images/b/bc/Epic_Whaddle.png/revision/latest?cb=20220304032127
Rare Mammott,Light Island,Sooza,Spytrap,https://static.wikia.nocookie.net/mysingingmonsters/images/b/b4/Rare_Mammott.png/revision/latest?cb=20250106000128
Spytrap,Light Island,Gob,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/0/01/Spytrap.png/revision/latest?cb=20220221192209
Epic Monculus,Ethereal Island,Whisp,Humbug,https://static.wikia.nocookie.net/mysingingmonsters/images/c/cc/Epic_Monculus.png/revision/latest?cb=20240605164754
Epic Ffidyll,Faerie Island,Pladdie,HippityHop,https://static.wikia.nocookie.net/mysingingmonsters/images/7/78/Epic_Ffidyll.png/revision/latest?cb=20240313190521
Rare Nebulob,Ethereal Island,Ghazt,Reebro,https://static.wikia.nocookie.net/mysingingmonsters/images/5/57/Rare_Nebulob.png/revision/latest?cb=20191027022621
Rare Potbelly,Light Island,TooToo,Sooza,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7f/Rare_Potbelly.png/revision/latest?cb=20250106000228
Rare Sneyser,Fire Oasis,Congle,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ef/Rare_Sneyser.png/revision/latest?cb=20230909042202
Epic Yawstrich,Mythical Island,Cataliszt,Strombonin,https://static.wikia.nocookie.net/mysingingmonsters/images/5/5f/Epic_Yawstrich.png/revision/latest/scale-to-width-down/700?cb=20240904210029
Quarrister,Earth Island,Pango,Shrubb,https://static.wikia.nocookie.net/mysingingmonsters/images/6/68/Quarrister.png/revision/latest/scale-to-width-down/700?cb=20191026235916
Rare PomPom,Air Island,Pango,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/9/94/Rare_PomPom.png/revision/latest?cb=20191027022407
Rare Toe Jammer,Air Island,T-Rox,Scups,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a9/Rare_Toe_Jammer.png/revision/latest?cb=20250106000144
Sneyser,Fire Oasis,Woolabee,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/d/db/Sneyser.png/revision/latest?cb=20191027010722
Epic Shrubb,Fire Haven,Barrb,Cybop,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c8/Epic_Shrubb.png/revision/latest?cb=20250105235935
Frondley,Magical Sanctum,Déjà-Jin,Fluoress,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7b/Frondley.png/revision/latest?cb=20220304030559
Rare Cataliszt,Mythical Island,Cataliszt,G'joob,https://static.wikia.nocookie.net/mysingingmonsters/images/9/9e/Rare_Cataliszt.png/revision/latest?cb=20240808204832
Rare Potbelly,Cold Island,Thumpies,Bowgart,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7f/Rare_Potbelly.png/revision/latest?cb=20250106000228
Rare Thumpies,Cold Island,Furcorn,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/f/f5/Rare_Thumpies.png/revision/latest?cb=20191027022356
Repatillo,Fire Haven,Shrubb,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/3/32/Repatillo.png/revision/latest?cb=20250106000328
Rare TooToo,Light Island,Pluckbill,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/7/71/Rare_TooToo.png/revision/latest?cb=20230909042355
Rare Osstax,Magical Sanctum,Clackula,Floot Fly,https://static.wikia.nocookie.net/mysingingmonsters/images/4/48/Rare_Osstax.png/revision/latest?cb=20241030163444
Rare Deedge,Cold Island,Spunge,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e9/Rare_Deedge.png/revision/latest?cb=20230725174111
Rare Banjaw,Bone Island,Phangler,Clackula,https://static.wikia.nocookie.net/mysingingmonsters/images/c/cc/Rare_Banjaw.png/revision/latest?cb=20220304031745
Plinkajou,Bone Island,Banjaw,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/d/d2/Plinkajou.png/revision/latest?cb=20220304045953
Epic Bowgart,Cold Island,Congle,Furcorn,https://static.wikia.nocookie.net/mysingingmonsters/images/8/86/Epic_Bowgart.png/revision/latest?cb=20191027015442
Rare Humbug,Earth Island,Quarrister,Clamble,https://static.wikia.nocookie.net/mysingingmonsters/images/f/f9/Rare_Humbug.png/revision/latest?cb=20191027022611
Rare Wynq,Fire Oasis,Boskus,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ea/Rare_Wynq.png/revision/latest?cb=20191108221815
ShLep,Mythical Island,Cataliszt,Cherubble,https://static.wikia.nocookie.net/mysingingmonsters/images/1/1d/ShLep.png/revision/latest?cb=20221208145130
Bulbo,Light Island,Mammott,Fluoress,https://static.wikia.nocookie.net/mysingingmonsters/images/f/f8/Bulbo.png/revision/latest?cb=20230909013754
Gloptic,Psychic Island,Periscorp,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e2/Gloptic.png/revision/latest?cb=20190926165044
Withur,Bone Island,Peckidna,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/4/47/Withur.png/revision/latest?cb=20200410232236
Epic Noggin,Bone Island,Plinkajou,Phangler,https://static.wikia.nocookie.net/mysingingmonsters/images/3/3b/Epic_Noggin.png/revision/latest?cb=20250106000016
Rare Clackula,Bone Island,Uuduk,Banjaw,https://static.wikia.nocookie.net/mysingingmonsters/images/0/06/Rare_Clackula.png/revision/latest?cb=20240619151530
PomPom,Air Island,Drumpler,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/0/07/PomPom.png/revision/latest/scale-to-width-down/700?cb=20240508141931
Rare Bowgart,Plant Island,Furcorn,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/f/f4/Rare_Bowgart.png/revision/latest?cb=20191027022335
Rare Entbrat,Plant Island,Bowgart,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a1/Rare_Entbrat.png/revision/latest/scale-to-width-down/700?cb=20191027022431
Rare Floot Fly,Faerie Island,Bridg-it,Clavi Gnat,https://static.wikia.nocookie.net/mysingingmonsters/images/c/cc/Rare_Floot_Fly.png/revision/latest/scale-to-width-down/700?cb=20221030013808
Shellbeat,Water Island,Cybop,Oaktopus,https://static.wikia.nocookie.net/mysingingmonsters/images/2/23/Shellbeat.png/revision/latest/scale-to-width-down/700?cb=20191026235923
Blow't,Light Island,TooToo,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/5/58/Blow%27t.png/revision/latest?cb=20220223044109
Rare Phangler,Fire Oasis,Toe Jammer,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/a/ae/Rare_Phangler.png/revision/latest?cb=20191027022300
Uuduk,Bone Island,Stogg,Clackula,https://static.wikia.nocookie.net/mysingingmonsters/images/7/79/Uuduk.png/revision/latest?cb=20200410232249
Squot,Faerie Island,Mammott,Floot Fly,https://static.wikia.nocookie.net/mysingingmonsters/images/7/75/Squot.png/revision/latest?cb=20191211165038
Shellbeat,Water Island,Spunge,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/2/23/Shellbeat.png/revision/latest/scale-to-width-down/700?cb=20191026235923
Rare Pummel,Plant Island,Shrubb,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/9/97/Rare_Pummel.png/revision/latest?cb=20191027022323
Epic Quibble,Cold Island,Congle,Dandidoo,https://static.wikia.nocookie.net/mysingingmonsters/images/6/6f/Epic_Quibble.png/revision/latest?cb=20250106000034
Epic Bellowfish,Ethereal Island,Whisp,Dragong,https://static.wikia.nocookie.net/mysingingmonsters/images/6/6c/Epic_Bellowfish.png/revision/latest?cb=20231213172539
Rare Gobbleygourd,Fire Haven,Glowl,Seasonal Shanty,https://static.wikia.nocookie.net/mysingingmonsters/images/b/ba/Rare_Gobbleygourd.png/revision/latest?cb=20211126064522
Rare Tweedle,Water Island,Scups,Reedling,https://static.wikia.nocookie.net/mysingingmonsters/images/8/85/Rare_Tweedle.png/revision/latest?cb=20250106000109
Epic Floogull,Fire Haven,Reedling,Glowl,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c4/Epic_Floogull.png/revision/latest?cb=20241116021748
Rare Clackula,Magical Sanctum,G'day,Larvaluss,https://static.wikia.nocookie.net/mysingingmonsters/images/0/06/Rare_Clackula.png/revision/latest?cb=20240619151530
Rare Whaddle,Fire Oasis,Glowl,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/f/f4/Rare_Whaddle.png/revision/latest?cb=20200425185457
Rare Thrumble,Bone Island,Phangler,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e7/Rare_Thrumble.png/revision/latest?cb=20220427004457
T-Rox,Plant Island,Drumpler,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/c/ca/T-Rox.png/revision/latest?cb=20191026213658
Rare Yool,Seasonal Shanty,Yool,Seasonal Monsters,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e0/Rare_Yool.png/revision/latest?cb=20191027022734
Epic Dandidoo,Earth Island,Clamble,Pango,https://static.wikia.nocookie.net/mysingingmonsters/images/f/fb/Epic_Dandidoo.png/revision/latest?cb=20250106000105
Viveine,Seasonal Shanty,Punkleton,Blabbit,https://static.wikia.nocookie.net/mysingingmonsters/images/2/27/Viveine.png/revision/latest?cb=20220525232624
Shellbeat,Water Island,Pummel,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/2/23/Shellbeat.png/revision/latest/scale-to-width-down/700?cb=20191026235923
Rare Fiddlement,Light Island,Pluckbill,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/8/82/Rare_Fiddlement.png/revision/latest?cb=20241116021947
Rare Yool,Seasonal Shanty,Yool,Prize,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e0/Rare_Yool.png/revision/latest?cb=20191027022734
Rare Xyster,Magical Sanctum,Theremind,Clackula,https://static.wikia.nocookie.net/mysingingmonsters/images/0/07/Rare_Xyster.png/revision/latest?cb=20230119001232
Rare Strombonin,Cold Island,Bowgart,Spunge,https://static.wikia.nocookie.net/mysingingmonsters/images/4/41/Rare_Strombonin.png/revision/latest?cb=20221214175407
Epic Scups,Water Island,Pummel,Dandidoo,https://static.wikia.nocookie.net/mysingingmonsters/images/d/da/Epic_Scups.png/revision/latest?cb=20191027015511
Rare Noggin,Faerie Island,Cantorell,Bridg-it,https://static.wikia.nocookie.net/mysingingmonsters/images/0/0a/Rare_Noggin.png/revision/latest?cb=20250106000150
Rare Rootitoot,Psychic Island,Phangler,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/d/df/Rare_Rootitoot.png/revision/latest?cb=20220527012546
Epic Stogg,Faerie Island,Bridg-it,Squot,https://static.wikia.nocookie.net/mysingingmonsters/images/4/48/Epic_Stogg.png/revision/latest?cb=20220304052057
Whaddle,Fire Oasis,Phangler,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a9/Whaddle.png/revision/latest?cb=20250106000410
Epic Mammott,Plant Island,Entbrat,Furcorn,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a2/Epic_Mammott.png/revision/latest?cb=20250106000121
Epic Pummel,Plant Island,Bowgart,Fwog,https://static.wikia.nocookie.net/mysingingmonsters/images/d/d0/Epic_Pummel.png/revision/latest?cb=20191113205615
Grumpyre,Cold Island,Deedge,Congle,https://static.wikia.nocookie.net/mysingingmonsters/images/d/d1/Grumpyre.png/revision/latest?cb=20240824173500
Rare Mammott,Plant Island,Bowgart,T-Rox,https://static.wikia.nocookie.net/mysingingmonsters/images/b/b4/Rare_Mammott.png/revision/latest?cb=20250106000128
Rare Hawlo,Bone Island,Kayna,Clackula,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e1/Rare_Hawlo.png/revision/latest?cb=20220310001239
Plinkajou,Bone Island,Thrumble,Clackula,https://static.wikia.nocookie.net/mysingingmonsters/images/d/d2/Plinkajou.png/revision/latest?cb=20220304045953
Rare Mammott,Cold Island,Bowgart,Congle,https://static.wikia.nocookie.net/mysingingmonsters/images/b/b4/Rare_Mammott.png/revision/latest?cb=20250106000128
Rare Sooza,Light Island,Flowah,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/9/91/Rare_Sooza.png/revision/latest?cb=20210718230520
Rare Carillong,Magical Sanctum,Mushaboom,Roarick,https://static.wikia.nocookie.net/mysingingmonsters/images/f/fd/Rare_Carillong.png/revision/latest?cb=20230719150942
Rare Deedge,Cold Island,Bowgart,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e9/Rare_Deedge.png/revision/latest?cb=20230725174111
Rare Woolabee,Fire Oasis,Boskus,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/b/b9/Rare_Woolabee.png/revision/latest?cb=20200312225953
Epic Deedge,Cold Island,Pango,Bowgart,https://static.wikia.nocookie.net/mysingingmonsters/images/0/08/Epic_Deedge.png/revision/latest?cb=20191027015540
Epic Gobbleygourd,Fire Haven,Tring,Flowah,https://static.wikia.nocookie.net/mysingingmonsters/images/8/88/Epic_Gobbleygourd.png/revision/latest?cb=20220304044223
Rare Noggin,Water Island,Pummel,Reedling,https://static.wikia.nocookie.net/mysingingmonsters/images/0/0a/Rare_Noggin.png/revision/latest?cb=20250106000150
Ghazt,Plant Island,Entbrat,Pummel,https://static.wikia.nocookie.net/mysingingmonsters/images/3/37/Ghazt.png/revision/latest?cb=20250106000320
Rare Floot Fly,Faerie Island,Cantorell,Bridg-it,https://static.wikia.nocookie.net/mysingingmonsters/images/c/cc/Rare_Floot_Fly.png/revision/latest/scale-to-width-down/700?cb=20221030013808
Quibble,Cold Island,Tweedle,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/f/fb/Quibble.png/revision/latest/scale-to-width-down/700?cb=20191027000040
Knurv,Mythical Island,Cataliszt,Buzzinga,https://static.wikia.nocookie.net/mysingingmonsters/images/6/61/Knurv.png/revision/latest?cb=20230907142336
Epic Furcorn,Shugabush Island,Shugabush,Deedge,https://static.wikia.nocookie.net/mysingingmonsters/images/b/b9/Epic_Furcorn.png/revision/latest?cb=20250105235752
Epic Reebro,Ethereal Island,Sox,Kazilleon,https://static.wikia.nocookie.net/mysingingmonsters/images/1/16/Epic_Reebro.png/revision/latest?cb=20220304061543
Rare Potbelly,Fire Haven,Repatillo,Reedling,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7f/Rare_Potbelly.png/revision/latest?cb=20250106000228
Deedge,Cold Island,Spunge,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/7/74/Deedge.png/revision/latest/scale-to-width-down/700?cb=20191026235932
Gloptic,Psychic Island,Phangler,Boskus,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e2/Gloptic.png/revision/latest?cb=20190926165044
Epic Yelmut,Light Island,Blow't,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/3/37/Epic_Yelmut.png/revision/latest?cb=20250112125318
Epic Quibble,Water Island,Spunge,Shrubb,https://static.wikia.nocookie.net/mysingingmonsters/images/6/6f/Epic_Quibble.png/revision/latest?cb=20250106000034
Sooza,Light Island,Boskus,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ef/Sooza.png/revision/latest?cb=20250106000301
Rare PomPom,Air Island,Drumpler,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/9/94/Rare_PomPom.png/revision/latest?cb=20191027022407
Bridg-it,Faerie Island,Wimmzies,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/0/01/Bridg-it.png/revision/latest?cb=20191211165025
Rare Fluoress,Magical Sanctum,G'day,Frondley,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a0/Rare_Fluoress.png/revision/latest?cb=20230628153719
Rare Tring,Fire Haven,Repatillo,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/7/79/Rare_Tring.png/revision/latest?cb=20200127190047
Epic Viveine,Shugabush Island,Shugabush,PomPom,https://static.wikia.nocookie.net/mysingingmonsters/images/6/6e/Epic_Viveine.png/revision/latest?cb=20240417234232
Rare Hoola,Air Island,Earth Island,PomPom,https://static.wikia.nocookie.net/mysingingmonsters/images/5/5b/Rare_Hoola.png/revision/latest?cb=20191027022750
Barrb,Fire Haven,Glowl,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/2/29/Barrb.png/revision/latest?cb=20250106000356
Epic Toe Jammer,Air Island,Riff,Maw,https://static.wikia.nocookie.net/mysingingmonsters/images/4/40/Epic_Toe_Jammer.png/revision/latest?cb=20250106000135
Rare Arackulele,Ethereal Island,Grumpyre,Reebro,https://static.wikia.nocookie.net/mysingingmonsters/images/d/d2/Rare_Arackulele.png/revision/latest?cb=20231021175342
Epic Potbelly,Plant Island,Entbrat,Shrubb,https://static.wikia.nocookie.net/mysingingmonsters/images/0/08/Epic_Potbelly.png/revision/latest?cb=20250106000221
Rare Toe Jammer,Plant Island,Bowgart,T-Rox,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a9/Rare_Toe_Jammer.png/revision/latest?cb=20250106000144
Rare Whiz-bang,Light Island,Blow't,Spytrap,https://static.wikia.nocookie.net/mysingingmonsters/images/5/54/Rare_Whiz-bang.png/revision/latest?cb=20231230213115
Epic Reedling,Fire Haven,Repatillo,Cybop,https://static.wikia.nocookie.net/mysingingmonsters/images/4/43/Epic_Reedling.png/revision/latest?cb=20191027015519
Humbug,Earth Island,Quarrister,Thumpies,https://static.wikia.nocookie.net/mysingingmonsters/images/9/96/Humbug.png/revision/latest/scale-to-width-down/700?cb=20240508135140
Yool,Cold Island,Thumpies,Congle,https://static.wikia.nocookie.net/mysingingmonsters/images/8/80/Yool.png/revision/latest?cb=20191027013027
Fiddlement,Light Island,Boskus,Fluoress,https://static.wikia.nocookie.net/mysingingmonsters/images/8/86/Fiddlement.png/revision/latest?cb=20230909033502
Rare Kayna,Psychic Island,Rootitoot,Rooba,https://static.wikia.nocookie.net/mysingingmonsters/images/3/3e/Rare_Kayna.png/revision/latest?cb=20220304050626
Tring,Fire Haven,Flowah,Cybop,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ed/Tring.png/revision/latest?cb=20191027010718
Rare Mammott,Fire Oasis,Congle,Woolabee,https://static.wikia.nocookie.net/mysingingmonsters/images/b/b4/Rare_Mammott.png/revision/latest?cb=20250106000128
Hairionette,Psychic Island,Gloptic,Periscorp,https://static.wikia.nocookie.net/mysingingmonsters/images/d/d5/Hairionette_%28Major%29.png/revision/latest?cb=20241211164330
Shugitar,Shugabush Island,PomPom,Shugabush,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c9/Shugitar.png/revision/latest?cb=20191027005832
Bridg-it,Faerie Island,Stogg,Floot Fly,https://static.wikia.nocookie.net/mysingingmonsters/images/0/01/Bridg-it.png/revision/latest?cb=20191211165025
Rare Toe Jammer,Psychic Island,Tapricorn,Periscorp,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a9/Rare_Toe_Jammer.png/revision/latest?cb=20250106000144
Wynq,Fire Oasis,Boskus,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/6/62/Wynq.png/revision/latest?cb=20250106000240
Rare Theremind,Psychic Island,Periscorp,Tapricorn,https://static.wikia.nocookie.net/mysingingmonsters/images/a/ac/Rare_Theremind.png/revision/latest?cb=20220304061920
Ghazt,Plant Island,Entbrat,Clamble,https://static.wikia.nocookie.net/mysingingmonsters/images/3/37/Ghazt.png/revision/latest?cb=20250106000320
Epic Tweedle,Fire Haven,Tring,Shrubb,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c7/Epic_Tweedle.png/revision/latest/scale-to-width-down/700?cb=20230529230710
Rare Yawstrich,Air Island,T-Rox,Scups,https://static.wikia.nocookie.net/mysingingmonsters/images/f/ff/Rare_Yawstrich.png/revision/latest/scale-to-width-down/700?cb=20230202004621
Sneyser,Fire Oasis,Glowl,Maw,https://static.wikia.nocookie.net/mysingingmonsters/images/d/db/Sneyser.png/revision/latest?cb=20191027010722
Bridg-it,Faerie Island,HippityHop,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/0/01/Bridg-it.png/revision/latest?cb=20191211165025
Spurrit,Seasonal Shanty,Blabbit,Hoola,https://static.wikia.nocookie.net/mysingingmonsters/images/f/fd/Spurrit.png/revision/latest/scale-to-width-down/700?cb=20221026220532
Entbrat,Plant Island,T-Rox,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/c/ca/Entbrat.png/revision/latest/scale-to-width-down/700?cb=20191026235937
Frondley,Magical Sanctum,Cahoot,Floot Fly,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7b/Frondley.png/revision/latest?cb=20220304030559
Epic Tweedle,Fire Oasis,Sneyser,Maw,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c7/Epic_Tweedle.png/revision/latest/scale-to-width-down/700?cb=20230529230710
Rare Noggin,Faerie Island,Bridg-it,Ziggurab,https://static.wikia.nocookie.net/mysingingmonsters/images/0/0a/Rare_Noggin.png/revision/latest?cb=20250106000150
Epic Tweedle,Water Island,Shellbeat,Quibble,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c7/Epic_Tweedle.png/revision/latest/scale-to-width-down/700?cb=20230529230710
Epic Furcorn,Light Island,Sooza,Pluckbill,https://static.wikia.nocookie.net/mysingingmonsters/images/b/b9/Epic_Furcorn.png/revision/latest?cb=20250105235752
Banjaw,Bone Island,Phangler,Clackula,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c1/Banjaw.png/revision/latest?cb=20230918184907
Enchantling,Magical Sanctum,G'day,Floot Fly,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7f/Enchantling.png/revision/latest?cb=20230909014346
Rare Hyehehe,Mythical Island,Cataliszt,Hyehehe,https://static.wikia.nocookie.net/mysingingmonsters/images/f/f3/Rare_Hyehehe.png/revision/latest/scale-to-width-down/700?cb=20240612152301
Rare Schmoochle,Air Island,Riff,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e3/Rare_Schmoochle.png/revision/latest?cb=20191027022740
Rare Gob,Light Island,Potbelly,Fluoress,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c8/Rare_Gob.png/revision/latest?cb=20210821234840
Rare Gloptic,Psychic Island,Periscorp,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/1/19/Rare_Gloptic.png/revision/latest?cb=20240814155240
Rare Potbelly,Psychic Island,Rootitoot,Tapricorn,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7f/Rare_Potbelly.png/revision/latest?cb=20250106000228
Rare G'joob,Plant Island,Pummel,T-Rox,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e8/Rare_G%27joob.png/revision/latest?cb=20221012232630
Epic Noggin,Fire Haven,Tring,Dandidoo,https://static.wikia.nocookie.net/mysingingmonsters/images/3/3b/Epic_Noggin.png/revision/latest?cb=20250106000016
Rare Boskus,Fire Oasis,Mammott,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e4/Rare_Boskus.png/revision/latest?cb=20220426061936
Epic Mammott,Faerie Island,Pladdie,Stogg,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a2/Epic_Mammott.png/revision/latest?cb=20250106000121
Rare Bridg-it,Faerie Island,HippityHop,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/2/24/Rare_Bridg-it.png/revision/latest?cb=20220304061117
Whaddle,Fire Oasis,Glowl,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a9/Whaddle.png/revision/latest?cb=20250106000410
